model,rmse,mae,mape,qlike,n_obs,"vs GARCH(1,1) [RMSE Δ%]",vs GJR-GARCH [RMSE Δ%]
GNN (GraphSAGE),0.02262934297323227,0.01720482110977173,21.148021697998047,0.03482682630419731,49599,+13.8%,+17.9%
"GARCH(1,1)",0.026246702460626457,0.01834238211839397,20.907152666707173,0.040707043478613904,49599,+0.0%,+4.8%
GJR-GARCH,0.027570158551006058,0.018984387630593045,21.566052770824427,0.04441557722858528,49599,-5.0%,+0.0%
